,1. open,2. high,3. low,4. close,5. volume
2024-01-30 17:35:00,402.4000,402.5000,399.8500,400.0000,64840
2024-01-30 17:30:00,401.3000,408.5900,401.0100,402.3000,777186
2024-01-30 17:25:00,401.3500,401.8400,400.5000,401.4700,39553
2024-01-30 17:20:00,400.9000,402.0000,400.5500,401.3000,49117
2024-01-30 17:15:00,399.0000,401.4400,397.5000,400.9000,103537
2024-01-30 17:10:00,397.6230,399.5500,396.6600,398.9500,121198
2024-01-30 17:05:00,403.5000,403.5500,396.1100,398.2500,207821
2024-01-30 17:00:00,403.7000,408.5900,403.0000,403.5000,69827
2024-01-30 16:55:00,403.7490,408.5900,403.5000,403.7000,253957
2024-01-30 16:50:00,403.7000,427.6110,403.0000,403.7500,78885
2024-01-30 16:45:00,405.2100,409.8500,402.0100,403.7000,78297
2024-01-30 16:40:00,402.5500,405.5000,401.0400,405.3600,244495
2024-01-30 16:35:00,405.3400,405.9200,402.5000,402.5500,129743
2024-01-30 16:30:00,406.2700,408.1700,404.7500,405.4500,175366
2024-01-30 16:25:00,407.3800,407.4000,405.9000,406.2000,176775
2024-01-30 16:20:00,409.4400,409.4600,407.1100,407.4000,213817
2024-01-30 16:15:00,413.3500,414.1600,408.0800,409.2310,411296
2024-01-30 16:10:00,403.8910,413.3600,403.3000,413.3300,522892
2024-01-30 16:05:00,402.0000,410.6800,401.9500,403.7500,852248
2024-01-30 16:00:00,408.6000,416.6400,401.0000,402.0000,5497044
2024-01-30 15:55:00,408.6400,409.1100,408.2300,408.6000,1071767
2024-01-30 15:50:00,409.2800,409.4200,408.4800,408.6600,710208
2024-01-30 15:45:00,409.0100,409.4290,408.9800,409.3200,483215
2024-01-30 15:40:00,408.7100,409.2200,408.6550,409.0200,350477
2024-01-30 15:35:00,408.4300,408.7500,408.3300,408.7100,299577
2024-01-30 15:30:00,408.7700,408.8300,408.4100,408.4400,367196
2024-01-30 15:25:00,408.6500,409.1200,408.5300,408.7650,342312
2024-01-30 15:20:00,408.3700,408.7000,408.3700,408.6300,260797
2024-01-30 15:15:00,408.0960,408.4200,408.0600,408.3900,241544
2024-01-30 15:10:00,407.9500,408.3000,407.9300,408.1000,239600
2024-01-30 15:05:00,407.8500,408.0450,407.6000,407.9350,259948
2024-01-30 15:00:00,408.0100,408.2300,407.7200,407.8350,204819
2024-01-30 14:55:00,408.1150,408.1400,407.8500,408.0040,204125
2024-01-30 14:50:00,408.2800,408.3750,407.9750,408.1100,207643
2024-01-30 14:45:00,408.1830,408.4900,408.1170,408.2900,201728
2024-01-30 14:40:00,407.9450,408.2100,407.8200,408.1800,154940
2024-01-30 14:35:00,408.0700,408.1000,407.8800,407.9500,200707
2024-01-30 14:30:00,408.0110,408.4200,407.9600,408.0400,207973
2024-01-30 14:25:00,408.0600,408.3300,407.9300,408.0130,192355
2024-01-30 14:20:00,407.8450,408.1400,407.8100,408.0950,169663
2024-01-30 14:15:00,407.7800,407.9750,407.6520,407.8400,153769
2024-01-30 14:10:00,407.5150,407.7800,407.3200,407.7800,213432
2024-01-30 14:05:00,407.7500,407.7800,407.3100,407.5300,222324
2024-01-30 14:00:00,408.0550,408.1100,407.7460,407.7500,212155
2024-01-30 13:55:00,407.5300,408.1700,407.5220,408.0450,216367
2024-01-30 13:50:00,407.6750,407.7350,407.4800,407.5150,161450
2024-01-30 13:45:00,407.8100,407.9200,407.5800,407.6650,200016
2024-01-30 13:40:00,408.1600,408.2050,407.7800,407.8200,172260
2024-01-30 13:35:00,408.1800,408.2400,407.9900,408.1450,144581
2024-01-30 13:30:00,408.0700,408.2200,407.9900,408.1700,210162
2024-01-30 13:25:00,408.0280,408.1400,407.7800,408.0200,145311
2024-01-30 13:20:00,408.1200,408.2000,407.7700,408.0100,210290
2024-01-30 13:15:00,407.8700,408.2210,407.8410,408.1000,198153
2024-01-30 13:10:00,407.5500,407.8900,407.4600,407.8800,187416
2024-01-30 13:05:00,407.1100,407.6000,407.0500,407.5200,217261
2024-01-30 13:00:00,407.1500,407.3900,406.8100,407.0900,255348
2024-01-30 12:55:00,407.2350,407.2800,407.0600,407.1400,151309
2024-01-30 12:50:00,407.2100,407.3580,407.0500,407.2260,205823
2024-01-30 12:45:00,407.3000,407.4650,407.0500,407.1900,189051
2024-01-30 12:40:00,407.3160,407.5900,407.1800,407.3100,298534
2024-01-30 12:35:00,406.6900,407.4400,406.4500,407.3000,329934
2024-01-30 12:30:00,407.4700,407.5400,406.5800,406.6920,365958
2024-01-30 12:25:00,407.8100,408.2300,407.2300,407.4700,299912
2024-01-30 12:20:00,408.7100,408.7500,407.7700,407.8120,381104
2024-01-30 12:15:00,409.3200,409.3900,408.5500,408.7400,285565
2024-01-30 12:10:00,409.6700,409.7600,409.2800,409.3550,138218
2024-01-30 12:05:00,409.5730,409.8100,409.4650,409.6900,251881
2024-01-30 12:00:00,409.6700,409.8300,409.5700,409.5800,186527
2024-01-30 11:55:00,409.8630,409.8800,409.5300,409.6600,168416
2024-01-30 11:50:00,409.7700,409.9200,409.7200,409.8600,154324
2024-01-30 11:45:00,409.7910,409.8800,409.6600,409.7550,165576
2024-01-30 11:40:00,410.0650,410.1100,409.7300,409.7700,163599
